16864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17785000, Heave Mean: -0.038, Heave Variance: 0.000, Elements: -0.039 -0.039 -0.038 -0.038 -0.037 -0.037
17064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17985000, Heave Mean: -0.038, Heave Variance: 0.000, Elements: -0.039 -0.038 -0.038 -0.037 -0.037 -0.036
18065000, Heave Mean: -0.037, Heave Variance: 0.000, Elements: -0.038 -0.038 -0.037 -0.037 -0.036 -0.036
17264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
18265000, Heave Mean: -0.037, Heave Variance: 0.000, Elements: -0.038 -0.037 -0.037 -0.036 -0.036 -0.035
17464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
18465000, Heave Mean: -0.036, Heave Variance: 0.000, Elements: -0.037 -0.037 -0.036 -0.036 -0.035 -0.035
17664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
18665000, Heave Mean: -0.036, Heave Variance: 0.000, Elements: -0.037 -0.036 -0.036 -0.035 -0.035 -0.035
17864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
18865000, Heave Mean: -0.035, Heave Variance: 0.000, Elements: -0.036 -0.036 -0.035 -0.035 -0.035 -0.034
18064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
18064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19065000, Heave Mean: -0.035, Heave Variance: 0.000, Elements: -0.036 -0.035 -0.035 -0.035 -0.034 -0.034
18264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
18264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19265000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.035 -0.035 -0.035 -0.034 -0.034 -0.033
18464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
18464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19465000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.035 -0.035 -0.034 -0.034 -0.033 -0.033
18664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
18664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19665000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.035 -0.034 -0.034 -0.033 -0.033 -0.033
18864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
18864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19865000, Heave Mean: -0.033, Heave Variance: 0.000, Elements: -0.034 -0.034 -0.033 -0.033 -0.033 -0.033
19064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20065000, Heave Mean: -0.033, Heave Variance: 0.000, Elements: -0.034 -0.033 -0.033 -0.033 -0.033 -0.033
19264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20265000, Heave Mean: -0.033, Heave Variance: 0.000, Elements: -0.033 -0.033 -0.033 -0.033 -0.033 -0.033
19464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
